Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/22  01:00:00,15202975.347365277,15202975.347365277,0.0 
 01/22  02:00:00,15722419.715965636,15722419.715965636,0.0 
 01/22  03:00:00,12676959.566227185,12676959.566227185,0.0 
 01/22  04:00:00,14682714.751014745,14682714.751014747,0.0 
 01/22  05:00:00,14414054.113430386,14414054.113430388,0.0 
 01/22  06:00:00,12323386.812840085,12323386.81284009,0.0 
 01/22  07:00:00,15298048.994450158,15298048.994450158,0.0 
 01/22  08:00:00,12662050.210391233,12662050.210391235,0.0 
 01/22  09:00:00,8841974.006239757,8841974.006239757,0.0 
 01/22  10:00:00,10593385.148358291,10593385.148358293,0.0 
 01/22  11:00:00,8867359.835561443,8867359.835561443,0.0 
 01/22  12:00:00,7135258.355896038,7135258.355896039,0.0 
 01/22  13:00:00,6651158.8227503905,6651158.8227503905,0.0 
 01/22  14:00:00,6302140.671749112,6302140.671749112,0.0 
 01/22  15:00:00,6769629.156610373,6769629.1566103725,0.0 
 01/22  16:00:00,6663537.17904025,6663537.17904025,0.0 
 01/22  17:00:00,6729128.35797603,6729128.35797603,0.0 
 01/22  18:00:00,10609867.046493819,10609867.046493819,0.0 
 01/22  19:00:00,11211283.161090877,11211283.161090873,0.0 
 01/22  20:00:00,10812825.594304945,10812825.594304945,0.0 
 01/22  21:00:00,12650196.901944727,12650196.901944727,0.0 
 01/22  22:00:00,12894581.155590633,12894581.155590635,0.0 
 01/22  23:00:00,12667522.834188398,12667522.834188398,0.0 
 01/22  24:00:00,13587011.65898864,13587011.658988636,0.0 
 01/23  01:00:00,15286869.679376632,15286869.67937663,0.0 
 01/23  02:00:00,13904006.698950443,13904006.698950442,0.0 
 01/23  03:00:00,15374495.84435147,15374495.844351467,0.0 
 01/23  04:00:00,14865633.665150456,14865633.665150458,0.0 
 01/23  05:00:00,14047314.603854734,14047314.60385473,0.0 
 01/23  06:00:00,16583991.125583738,16583991.125583742,0.0 
 01/23  07:00:00,41186428.03819733,41186428.03819733,61369922.534963235 
 01/23  08:00:00,42457939.80568294,42457939.805682935,47192252.88659802 
 01/23  09:00:00,50416217.23083585,50416217.230835855,13705066.599118123 
 01/23  10:00:00,48213079.94023559,48213079.9402356,5328773.9990221625 
 01/23  11:00:00,42714964.81690408,42714964.81690408,0.0 
 01/23  12:00:00,39631976.30279527,39631976.302795276,0.0 
 01/23  13:00:00,36245718.20289344,36245718.20289346,0.0 
 01/23  14:00:00,35040393.224525005,35040393.22452501,0.0 
 01/23  15:00:00,32675133.46152142,32675133.461521428,0.0 
 01/23  16:00:00,32926715.234217115,32926715.234217122,0.0 
 01/23  17:00:00,33369195.82428686,33369195.824286863,0.0 
 01/23  18:00:00,34613486.27635379,34613486.2763538,0.0 
 01/23  19:00:00,30433057.941833608,30433057.941833608,0.0 
 01/23  20:00:00,9983935.254119202,9983935.254119204,0.0 
 01/23  21:00:00,8999331.820964705,8999331.820964705,0.0 
 01/23  22:00:00,8999331.820964705,8999331.820964705,0.0 
 01/23  23:00:00,8113188.731125657,8113188.731125657,0.0 
 01/23  24:00:00,6365454.451684226,6365454.451684226,0.0 
 01/24  01:00:00,8569604.825749658,8569604.82574966,0.0 
 01/24  02:00:00,8569604.825749658,8569604.82574966,0.0 
 01/24  03:00:00,8569604.825749658,8569604.82574966,0.0 
 01/24  04:00:00,8569604.825749658,8569604.82574966,0.0 
 01/24  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/24  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/24  07:00:00,43353588.10997543,43353588.10997542,14512529.415581923 
 01/24  08:00:00,44923242.126444645,44923242.12644465,21368175.131738767 
 01/24  09:00:00,48599931.43530497,48599931.43530497,1827282.1173234647 
 01/24  10:00:00,46739434.52492092,46739434.524920925,123749.16473774395 
 01/24  11:00:00,45092324.86771556,45092324.867715575,0.0 
 01/24  12:00:00,45670580.71616628,45670580.716166295,0.0 
 01/24  13:00:00,42868438.064928085,42868438.06492809,2802193.1519617126 
 01/24  14:00:00,41472678.58460207,41472678.58460207,0.0 
 01/24  15:00:00,39207300.483147725,39207300.483147725,0.0 
 01/24  16:00:00,40970149.61104444,40970149.611044444,0.0 
 01/24  17:00:00,44389802.92828408,44389802.92828408,0.0 
 01/24  18:00:00,43437516.87096888,43437516.870968886,7591506.9170354 
 01/24  19:00:00,38700315.45933007,38700315.45933006,2945877.8745001294 
 01/24  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/24  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/24  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/24  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/24  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/25  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/25  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/25  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/25  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/25  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/25  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/25  07:00:00,41516176.23355334,41516176.233553335,26958574.6149237 
 01/25  08:00:00,43473009.718536645,43473009.718536645,28129529.74242357 
 01/25  09:00:00,45207371.4614446,45207371.461444594,2679330.2858757945 
 01/25  10:00:00,40260962.73548055,40260962.735480554,77395.67915904116 
 01/25  11:00:00,36019746.63774519,36019746.63774519,0.0 
 01/25  12:00:00,36260737.43198286,36260737.43198286,0.0 
 01/25  13:00:00,34534059.80556804,34534059.80556805,0.0 
 01/25  14:00:00,33270192.110339954,33270192.110339966,0.0 
 01/25  15:00:00,31488333.888015002,31488333.88801501,0.0 
 01/25  16:00:00,33487397.317664143,33487397.317664146,0.0 
 01/25  17:00:00,35566330.78440858,35566330.784408584,0.0 
 01/25  18:00:00,38031790.55499697,38031790.55499696,1159851.1830786462 
 01/25  19:00:00,34827671.6930345,34827671.6930345,0.0 
 01/25  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/25  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/25  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/25  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/25  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/26  01:00:00,8794604.825749658,8794604.82574966,0.0 
 01/26  02:00:00,8569604.825749658,8569604.82574966,0.0 
 01/26  03:00:00,8794604.825749658,8794604.82574966,0.0 
 01/26  04:00:00,8569604.825749658,8569604.82574966,0.0 
 01/26  05:00:00,8794604.825749658,8794604.82574966,0.0 
 01/26  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/26  07:00:00,33207032.91979384,33207032.919793837,1972290.3031031154 
 01/26  08:00:00,34465056.99364534,34465056.99364534,3211282.1690663807 
 01/26  09:00:00,32673315.94843329,32673315.948433295,0.0 
 01/26  10:00:00,30023461.620920736,30023461.620920736,0.0 
 01/26  11:00:00,28194187.68678438,28194187.686784387,0.0 
 01/26  12:00:00,28705866.39555186,28705866.395551864,0.0 
 01/26  13:00:00,26433889.419406235,26433889.41940624,0.0 
 01/26  14:00:00,28545362.332218345,28545362.33221835,0.0 
 01/26  15:00:00,28006554.273565937,28006554.273565937,0.0 
 01/26  16:00:00,29106859.68654906,29106859.686549064,0.0 
