Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/15  01:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  02:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  03:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  04:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  05:00:00,5504338.596677196,5504338.596677196,0.0 
 01/15  06:00:00,6179338.596677196,6179338.596677196,0.0 
 01/15  07:00:00,7595938.596677196,7595938.596677196,0.0 
 01/15  08:00:00,5945428.596677196,5945428.596677196,0.0 
 01/15  09:00:00,4945258.596677196,4945258.596677196,0.0 
 01/15  10:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  11:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  12:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  13:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  14:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  15:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  16:00:00,4495258.596677196,4495258.596677196,0.0 
 01/15  17:00:00,5045428.596677196,5045428.596677196,0.0 
 01/15  18:00:00,6695938.596677196,6695938.596677196,0.0 
 01/15  19:00:00,6695938.596677196,6695938.596677196,0.0 
 01/15  20:00:00,5894038.596677196,5894038.596677196,0.0 
 01/15  21:00:00,5894038.596677196,5894038.596677196,0.0 
 01/15  22:00:00,6344038.596677196,6344038.596677196,0.0 
 01/15  23:00:00,6794038.596677196,6794038.596677196,0.0 
 01/15  24:00:00,6569038.596677196,6569038.596677196,0.0 
 01/16  01:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  02:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  03:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  04:00:00,6404338.596677196,6404338.596677196,0.0 
 01/16  05:00:00,6868649.352263817,6868649.352263816,0.0 
 01/16  06:00:00,6944556.851680044,6944556.851680044,0.0 
 01/16  07:00:00,8097026.437438764,8097026.437438763,0.0 
 01/16  08:00:00,7079039.746955823,7079039.746955823,0.0 
 01/16  09:00:00,5788414.985904714,5788414.985904714,0.0 
 01/16  10:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  11:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  12:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  13:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  14:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  15:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  16:00:00,4495258.596677196,4495258.596677196,0.0 
 01/16  17:00:00,5045428.596677196,5045428.596677196,0.0 
 01/16  18:00:00,6695938.596677196,6695938.596677196,0.0 
 01/16  19:00:00,6695938.596677196,6695938.596677196,0.0 
 01/16  20:00:00,6119038.596677196,6119038.596677196,0.0 
 01/16  21:00:00,6794038.596677196,6794038.596677196,0.0 
 01/16  22:00:00,6794038.596677196,6794038.596677196,0.0 
 01/16  23:00:00,7108474.783695601,7108474.783695601,0.0 
 01/16  24:00:00,6686128.577706726,6686128.577706725,0.0 
 01/17  01:00:00,9019604.825749658,9019604.82574966,0.0 
 01/17  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/17  03:00:00,9875282.210560707,9875282.21056071,0.0 
 01/17  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/17  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/17  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/17  07:00:00,37743808.6808496,37743808.6808496,14462707.742509913 
 01/17  08:00:00,39132113.53734896,39132113.53734896,15695845.950195286 
 01/17  09:00:00,39473110.90590515,39473110.90590516,2311533.6769469148 
 01/17  10:00:00,35972349.87452415,35972349.87452414,0.0 
 01/17  11:00:00,33079857.96746164,33079857.967461646,0.0 
 01/17  12:00:00,34027112.15165639,34027112.15165639,0.0 
 01/17  13:00:00,31263974.80546815,31263974.805468157,0.0 
 01/17  14:00:00,32703910.820615523,32703910.82061552,0.0 
 01/17  15:00:00,30561972.137522522,30561972.137522526,0.0 
 01/17  16:00:00,31771290.6373913,31771290.6373913,0.0 
 01/17  17:00:00,33130615.352757704,33130615.352757715,0.0 
